"serial";"location";"lat";"lng"
"1802250013";"Mediateam2";"65.0576688889715";"25.469011969589225"
"1802250014";"Humus";"65.06115472101685";"25.467939085983268"
"1809180051";"Aularavintola";"65.059354";"25.46667"
"1810200011";"Airport";"64.929001";"25.372087"
"1810200050";"Julinia";"65.06053947426552";"25.466801829360953"
"1810200051";"Corridor1";"65.0588972387352";"25.46666235449218"
"1811260036";"Discus";"65.05820163325363";"25.467043228172294"
"1811260037";"TS385";"65.05778199905154";"25.468572087310783"
"1810200015";"Rotuaari_west";"65.012244";"25.468454"
"1810200017";"Rotuaari_east";"65.011365";"25.471759"
"1810200016";"Toripolliisi";"65.013386";"25.464613"
"1810200013";"Rotuaari_crossing";"65.011700";"25.470128"
"1810200018";"Rotuaari_square";"65.012489";"25.471072"
"1810200021";"Rotuaari_south";"65.011111";"25.469248"
"1811260011";"Swimming hall";"65.008995";"25.498753"
"1810200019";"Ouluhalli";"65.008072";"25.499396"
"1806230025";"Urheilutalo";"65.009125";"25.457296"
"1810200014";"Near Coffee machine";"65.05778";"25.46804"
"1811260009";"Oulu10";"65.013908";"25.470236"
"1810200022";"OAMK";"64.999817";"25.510082"
"1806230015";"Valve";"65.014211";"25.470214"
"1811260015";"OAMK_Old";;
"1806230017";"Vassilis Kostakos";;
"1806230001";"tiago";"65.06108912553248";"25.46865791799926"
"0511020015";;;
"1806230014";"Aularavintola Hall";"65.05930667607339";"25.46660871031188"
"1806230051";"UFN-location16";"65.01416512410096";"25.476216383003226"
"1806230029";"UFN-location4";"65.01280101807225";"25.466324396156303"
"1811260001";"UFN-location1";"65.0162768584335";"25.471517152809135"
"1811260003";"UFN-location9";"65.00830033354288";"25.47864109995269"
"1811260006";;;
"1811260012";"UFN-location3";"65.01454126068168";"25.468695468925468"
"1810200023";"UFN-location15";"65.01167251888546";"25.475293703102103"
"1810200054";"UFN-location14";"65.01223450837767";"25.476312942527763"
"1810200024";"UFN-location13";"65.01362130280836";"25.478254861854545"
"1811260004";"UFN-location10";"65.00738469358969";"25.482042140983573"
"1810200053";"UFN-location11";"65.01208494781298";"25.48888713838958"
"1811260010";"UFN-location12";"65.01319076976309";"25.485743589424125"
"1125100106";"BtBox1";;
"1806230052";"UFN-location7";"65.01039440197209";"25.4709163379898"
"1806230016";"UFN-location18";"65.0152028856644";"25.47510058405303"
"1811260002";"UFN-location17";"65.01475878303303";"25.47712833406829"
"1806230050";"UFN-location5";"65.0120758835094";"25.465294427894584"
"1806230022";"UFN-location6";"65.01150482618128";"25.4668822956314"
"1806230028";"projector_north";"65.01459904022933";"25.46318084719085"
"1811260008";"UFN-location8";"65.00989582914416";"25.472708053611747"
"1806230026";"UFN-location2";"65.01605028549565";"25.470776863121024"
"1811260005";"projector_south";"65.01445855640628";"25.462966270469657"
"1118100105";"FabioOffice";;
"1811260007";"Ritaharju";"65.081032";"25.456308"
"1806230002";"Main library";"65.015244";"25.463112"
"1118100156";"BtBox2";;
"1118100102";"BtBoxAdvanced1";;
"1125100111";"Veripalvelu";"65.010192";"25.470402"
"1125100107";"BtBox3";;
"1125100108";"BtBox4";"65.014171";"25.467982"
"1125100109";"BtBox5";;
